Проект;Тип;Площадь;План запуска проектов;План старта проектов;План ввода 1;План ввода 2;План ввода  3
Республика (стр 1, 2)-1 - ЖД (Башни);ЭСКРОУ;2,96;01.06.2018;15.01.2019;31.12.2021;;
Скандинавия-2 - ЖД (по ул. Ленина - Бабушкина);ЭСКРОУ;2,99;01.09.2018;29.12.2018;01.12.2020;;
Облака-1,2 - ЖД (по ул. Металлургов);ДДУ;3,02;01.08.2018;03.09.2018;30.09.2020;;
Норвежский лес-8 - ЖД (по ул. Цветочная);ДДУ;3,05;01.10.2018;01.11.2018;31.12.2020;;10.01.1900
Норвежский лес-9 - ЖД (по ул. Цветочная);ЭСКРОУ;3,08;18.04.2019;01.08.2019;31.12.2021;;
Норвежский лес-10 - ЖД (по ул. Цветочная);ЭСКРОУ;31,13;01.08.2019;15.11.2019;31.12.2021;;
Молоко и мед-1,2 - ЖД (Метеор - 5);ДДУ;31,44;20.08.2018;01.12.2018;31.03.2021;;
Покровский-1.3 - ЖД;ЭСКРОУ;31,76;01.07.2018;01.08.2019;30.03.2021;;
Капитал-1- ЖД (по ул.К.Маркса);ЭСКРОУ;32,08;01.03.2018;01.05.2018;30.09.2021;;
Ежевика-1,2 - ЖД (Ежевика-1,2 - ЖД);ЭСКРОУ;32,40;20.05.2019;31.08.2019;31.12.2021;;
Советская,41-3 - ЖД (Советская, 41/7.1);ДДУ;32,72;19.03.2018;01.06.2018;30.09.2020;;
Город Оружейников (1я очередь);ЭСКРОУ;33,05;29.10.2019;06.12.2019;31.12.2021;;
Авангард Тауэр-1 - ЖД (С.Ковалевской, 3);ЭСКРОУ;33,38;01.08.2019;23.12.2019;15.12.2021;;
Авангард Форт-1- ЖД (С.Ковалевской, 7);ДДУ;33,71;15.07.2018;01.11.2018;31.01.2021;;
Город Оружейников (2я очередь);ЭСКРОУ;34,05;01.04.2020;01.04.2020;31.12.2021;;
Город Оружейников (3я очередь);ЭСКРОУ;34,39;01.10.2020;01.10.2020;31.12.2021;;
Скандинавия-3 - ЖД (по ул. Ленина - Бабушкина);ЭСКРОУ;34,73;01.06.2019;01.07.2019;01.09.2021;;
